,fl_date,op_carrier,iata,icao,state,state_name,airport,latitude,longitude,dep_delay,arr_delay,cancelled,cancellation_code,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
379,2022-01-01,Endeavor Air Inc.,MSN,KMSN,WI,Wisconsin,Dane County Regional Airport (Truax Field),43.1399,-89.3375,-5.0,19.0,0.0,,0.0,0.0,19.0,0.0,0.0
380,2022-01-01,Endeavor Air Inc.,MSN,KMSN,WI,Wisconsin,Dane County Regional Airport (Truax Field),43.1399,-89.3375,-4.0,0.0,0.0,,,,,,
381,2022-01-01,Endeavor Air Inc.,MSN,KMSN,WI,Wisconsin,Dane County Regional Airport (Truax Field),43.1399,-89.3375,-2.0,-7.0,0.0,,,,,,
382,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,,,1.0,B,,,,,
383,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,,,1.0,B,,,,,
384,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,,,1.0,B,,,,,
385,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,,,1.0,B,,,,,
386,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,-5.0,-22.0,0.0,,,,,,
387,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,-5.0,8.0,0.0,,,,,,
388,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,-4.0,-26.0,0.0,,,,,,
389,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,-3.0,-12.0,0.0,,,,,,
390,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,-3.0,-10.0,0.0,,,,,,
391,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,-3.0,0.0,0.0,,,,,,
392,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,-3.0,5.0,0.0,,,,,,
393,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,-2.0,-10.0,0.0,,,,,,
394,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,1.0,-13.0,0.0,,,,,,
395,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,4.0,-10.0,0.0,,,,,,
396,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,4.0,-4.0,0.0,,,,,,
397,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,4.0,26.0,0.0,,0.0,0.0,26.0,0.0,0.0
398,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,6.0,-6.0,0.0,,,,,,
399,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,6.0,1.0,0.0,,,,,,
400,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,6.0,5.0,0.0,,,,,,
401,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,6.0,7.0,0.0,,,,,,
402,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,6.0,7.0,0.0,,,,,,
403,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,12.0,-11.0,0.0,,,,,,
404,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,14.0,-5.0,0.0,,,,,,
405,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,14.0,8.0,0.0,,,,,,
406,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,28.0,30.0,0.0,,28.0,0.0,2.0,0.0,0.0
407,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,52.0,42.0,0.0,,42.0,0.0,0.0,0.0,0.0
408,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,86.0,74.0,0.0,,74.0,0.0,0.0,0.0,0.0
409,2022-01-01,Endeavor Air Inc.,MSP,KMSP,MN,Minnesota,Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),44.882,-93.2218,102.0,94.0,0.0,,94.0,0.0,0.0,0.0,0.0
410,2022-01-01,Endeavor Air Inc.,OAJ,KOAJ,NC,North Carolina,Albert J. Ellis Airport,34.8292,-77.6121,-5.0,-26.0,0.0,,,,,,
411,2022-01-01,Endeavor Air Inc.,OAJ,KOAJ,NC,North Carolina,Albert J. Ellis Airport,34.8292,-77.6121,-4.0,-14.0,0.0,,,,,,
412,2022-01-01,Endeavor Air Inc.,ORF,KORF,VA,Virginia,Norfolk International Airport,36.8946,-76.2012,-6.0,-16.0,0.0,,,,,,
413,2022-01-01,Endeavor Air Inc.,PHL,KPHL,PA,Pennsylvania,Philadelphia International Airport,39.8719,-75.2411,-5.0,-14.0,0.0,,,,,,
414,2022-01-01,Endeavor Air Inc.,PHL,KPHL,PA,Pennsylvania,Philadelphia International Airport,39.8719,-75.2411,-2.0,1.0,0.0,,,,,,
415,2022-01-01,Endeavor Air Inc.,PHL,KPHL,PA,Pennsylvania,Philadelphia International Airport,39.8719,-75.2411,18.0,15.0,0.0,,11.0,0.0,0.0,0.0,4.0
416,2022-01-01,Endeavor Air Inc.,PWM,KPWM,ME,Maine,Portland International Jetport,43.6462,-70.3093,-6.0,-18.0,0.0,,,,,,
417,2022-01-01,Endeavor Air Inc.,PWM,KPWM,ME,Maine,Portland International Jetport,43.6462,-70.3093,815.0,828.0,0.0,,0.0,815.0,13.0,0.0,0.0
418,2022-01-01,Endeavor Air Inc.,RDU,KRDU,NC,North Carolina,Raleigh-Durham International Airport,35.8776,-78.7875,-8.0,-26.0,0.0,,,,,,
419,2022-01-01,Endeavor Air Inc.,RDU,KRDU,NC,North Carolina,Raleigh-Durham International Airport,35.8776,-78.7875,-5.0,-19.0,0.0,,,,,,
420,2022-01-01,Endeavor Air Inc.,RDU,KRDU,NC,North Carolina,Raleigh-Durham International Airport,35.8776,-78.7875,-5.0,-18.0,0.0,,,,,,
421,2022-01-01,Endeavor Air Inc.,RDU,KRDU,NC,North Carolina,Raleigh-Durham International Airport,35.8776,-78.7875,-5.0,-5.0,0.0,,,,,,
422,2022-01-01,Endeavor Air Inc.,RDU,KRDU,NC,North Carolina,Raleigh-Durham International Airport,35.8776,-78.7875,-3.0,-16.0,0.0,,,,,,
423,2022-01-01,Endeavor Air Inc.,RDU,KRDU,NC,North Carolina,Raleigh-Durham International Airport,35.8776,-78.7875,-3.0,-2.0,0.0,,,,,,
424,2022-01-01,Endeavor Air Inc.,RDU,KRDU,NC,North Carolina,Raleigh-Durham International Airport,35.8776,-78.7875,0.0,-11.0,0.0,,,,,,
425,2022-01-01,Endeavor Air Inc.,RDU,KRDU,NC,North Carolina,Raleigh-Durham International Airport,35.8776,-78.7875,31.0,17.0,0.0,,17.0,0.0,0.0,0.0,0.0
426,2022-01-01,Endeavor Air Inc.,RIC,KRIC,VA,Virginia,Richmond International Airport,37.5052,-77.3197,-9.0,-29.0,0.0,,,,,,
427,2022-01-01,Endeavor Air Inc.,RIC,KRIC,VA,Virginia,Richmond International Airport,37.5052,-77.3197,-6.0,-14.0,0.0,,,,,,
428,2022-01-01,Endeavor Air Inc.,RIC,KRIC,VA,Virginia,Richmond International Airport,37.5052,-77.3197,-1.0,-11.0,0.0,,,,,,
429,2022-01-01,Endeavor Air Inc.,RIC,KRIC,VA,Virginia,Richmond International Airport,37.5052,-77.3197,124.0,100.0,0.0,,0.0,0.0,0.0,0.0,100.0
430,2022-01-01,Endeavor Air Inc.,ROA,KROA,VA,Virginia,Roanoke-Blacksburg Regional Airport (Woodrum Field),37.3255,-79.9754,-7.0,-13.0,0.0,,,,,,
431,2022-01-01,Endeavor Air Inc.,ROC,KROC,NY,New York,Greater Rochester International Airport,43.1189,-77.6724,-6.0,-16.0,0.0,,,,,,
432,2022-01-01,Endeavor Air Inc.,ROC,KROC,NY,New York,Greater Rochester International Airport,43.1189,-77.6724,66.0,50.0,0.0,,50.0,0.0,0.0,0.0,0.0
433,2022-01-01,Endeavor Air Inc.,ROC,KROC,NY,New York,Greater Rochester International Airport,43.1189,-77.6724,312.0,285.0,0.0,,0.0,0.0,0.0,0.0,285.0
